耀	yao,yue
逋	bu
倌	guan
逌	you
倍	bei
逍	xiao
逎	qiu
透	tou
倏	shu
逐	zhu
逑	qiu
倒	dao
递	di
倓	tan
逓	di
途	tu
倔	jue
逖	ti
逗	dou
倘	tang,chang
候	hou
通	tong
倚	yi
逛	guang
倜	ti
逝	shi
倞	jing,liang
逞	cheng
速	su
借	jie
造	zao
倡	chang
逡	qun
逢	feng
逤	suo
倥	kong
倦	juan
逦	li
倨	ju
逨	zui
倩	qian
倪	ni
倬	zhuo
倭	wo
逭	huan
逮	dai
倮	luo
逯	lu
逰	you
逴	chuo
倴	ben
逵	kui
倶	ju
逶	wei
逷	ti
逸	yi
逹	da
债	zhai
逺	yuan
逻	luo
值	zhi
逼	bi
逾	yu
倾	qing
偁	cheng
遁	dun
遂	sui
偃	yan
遄	chuan
遅	chi
遆	ti
假	jia
遇	yu
偈	jie,ji
偌	ruo
遍	pian,bian
偎	wei
偏	pian
遏	e
遐	xia
遑	huang
遒	qiu
道	dao
偕	xie,jie
遗	yi,wei
遘	gou
做	zuo
遛	liu
停	ting
遝	ta
遢	ta
遣	qian
健	jian
遥	yao
遨	ao
遫	su
偬	zong
遬	su
遭	zao
遮	zhe
遯	dun
